Panel_markerID,BI_markerID,Chr,Pos
Chr01_008817443,Chr01_008817443,Chr01,8817443
Chr01_009064679,Chr01_009064679,Chr01,9064679
Chr01_009090878,Chr01_009090878,Chr01,9090878
Chr01_009287907,Chr01_009287907,Chr01,9287907
Chr01_009406440,Chr01_009406440,Chr01,9406440
Chr01_009491333,Chr01_009491333,Chr01,9491333
Chr01_009669309,Chr01_009669309,Chr01,9669309
Chr01_009803029,Chr01_009803029,Chr01,9803029
Chr01_009934601,Chr01_009934601,Chr01,9934601
Chr01_010117845,Chr01_010117845,Chr01,10117845
Chr01_010224220,Chr01_010224220,Chr01,10224220
Chr01_010229077,Chr01_010229077,Chr01,10229077
Chr01_010321851,Chr01_010321851,Chr01,10321851
Chr01_010557757,Chr01_010557757,Chr01,10557757
Chr01_010558759,Chr01_010558759,Chr01,10558759
Chr01_010700686,Chr01_010700686,Chr01,10700686
Chr01_010857014,Chr01_010857014,Chr01,10857014
Chr01_011056654,Chr01_011056654,Chr01,11056654
Chr01_011161656,Chr01_011161656,Chr01,11161656
Chr01_011310671,Chr01_011310671,Chr01,11310671
Chr01_011379319,Chr01_011379319,Chr01,11379319
Chr01_011460617,Chr01_011460617,Chr01,11460617
Chr01_011522185,Chr01_011522185,Chr01,11522185
Chr01_011620460,Chr01_011620460,Chr01,11620460
Chr01_011687967,Chr01_011687967,Chr01,11687967
Chr01_011760629,Chr01_011760629,Chr01,11760629
Chr01_012016781,Chr01_012016781,Chr01,12016781
Chr01_012065311,Chr01_012065311,Chr01,12065311
Chr01_012132615,Chr01_012132615,Chr01,12132615
Chr01_012218022,Chr01_012218022,Chr01,12218022
Chr01_012387052,Chr01_012387052,Chr01,12387052
Chr01_012510839,Chr01_012510839,Chr01,12510839
Chr01_012660081,Chr01_012660081,Chr01,12660081
Chr01_012827392,Chr01_012827392,Chr01,12827392
Chr01_012917624,Chr01_012917624,Chr01,12917624
Chr01_013086159,Chr01_013086159,Chr01,13086159
Chr01_013262927,Chr01_013262927,Chr01,13262927
Chr01_013415556,Chr01_013415556,Chr01,13415556
Chr01_013561025,Chr01_013561025,Chr01,13561025
Chr01_013711416,Chr01_013711416,Chr01,13711416
Chr01_013838675,Chr01_013838675,Chr01,13838675
Chr01_013936822,Chr01_013936822,Chr01,13936822
Chr01_014053562,Chr01_014053562,Chr01,14053562
Chr01_014057828,Chr01_014057828,Chr01,14057828
Chr01_014294944,Chr01_014294944,Chr01,14294944
Chr01_014303446,Chr01_014303446,Chr01,14303446
Chr01_014448859,Chr01_014448859,Chr01,14448859
Chr01_014629581,Chr01_014629581,Chr01,14629581
Chr01_014809033,Chr01_014809033,Chr01,14809033
Chr01_014884416,Chr01_014884416,Chr01,14884416
Chr01_014971433,Chr01_014971433,Chr01,14971433
Chr01_015057201,Chr01_015057201,Chr01,15057201
Chr01_015104340,Chr01_015104340,Chr01,15104340
Chr01_015214626,Chr01_015214626,Chr01,15214626
Chr01_015350931,Chr01_015350931,Chr01,15350931
Chr01_015532402,Chr01_015532402,Chr01,15532402
Chr01_015549797,Chr01_015549797,Chr01,15549797
Chr01_015552773,Chr01_015552773,Chr01,15552773
Chr01_015743293,Chr01_015743293,Chr01,15743293
Chr01_015805964,Chr01_015805964,Chr01,15805964
Chr01_015934212,Chr01_015934212,Chr01,15934212
Chr01_016068743,Chr01_016068743,Chr01,16068743
Chr01_016228997,Chr01_016228997,Chr01,16228997
Chr01_016398948,Chr01_016398948,Chr01,16398948
Chr01_016567833,Chr01_016567833,Chr01,16567833
Chr01_016676845,Chr01_016676845,Chr01,16676845
Chr01_016836832,Chr01_016836832,Chr01,16836832
Chr01_017012722,Chr01_017012722,Chr01,17012722
Chr01_017148626,Chr01_017148626,Chr01,17148626
Chr01_017296012,Chr01_017296012,Chr01,17296012
Chr01_017438080,Chr01_017438080,Chr01,17438080
Chr01_017595478,Chr01_017595478,Chr01,17595478
Chr01_017598182,Chr01_017598182,Chr01,17598182
Chr01_017647364,Chr01_017647364,Chr01,17647364
Chr01_017751349,Chr01_017751349,Chr01,17751349
Chr01_017883186,Chr01_017883186,Chr01,17883186
Chr01_018062237,Chr01_018062237,Chr01,18062237
Chr01_018241801,Chr01_018241801,Chr01,18241801
Chr01_018308729,Chr01_018308729,Chr01,18308729
Chr01_018326582,Chr01_018326582,Chr01,18326582
Chr01_018341038,Chr01_018341038,Chr01,18341038
Chr01_018596848,Chr01_018596848,Chr01,18596848
Chr01_018631575,Chr01_018631575,Chr01,18631575
Chr01_018798807,Chr01_018798807,Chr01,18798807
Chr01_018944607,Chr01_018944607,Chr01,18944607
Chr01_019042257,Chr01_019042257,Chr01,19042257
Chr01_019047935,Chr01_019047935,Chr01,19047935
Chr01_019192432,Chr01_019192432,Chr01,19192432
Chr01_019247440,Chr01_019247440,Chr01,19247440
Chr01_019440070,Chr01_019440070,Chr01,19440070
Chr01_019561018,Chr01_019561018,Chr01,19561018
Chr01_019703912,Chr01_019703912,Chr01,19703912
Chr01_019852773,Chr01_019852773,Chr01,19852773
Chr01_020003498,Chr01_020003498,Chr01,20003498
Chr01_020125485,Chr01_020125485,Chr01,20125485
Chr01_020267150,Chr01_020267150,Chr01,20267150
Chr01_020456126,Chr01_020456126,Chr01,20456126
Chr01_020594804,Chr01_020594804,Chr01,20594804
Chr01_020736178,Chr01_020736178,Chr01,20736178
Chr01_020856530,Chr01_020856530,Chr01,20856530
Chr01_021057544,Chr01_021057544,Chr01,21057544
Chr01_021172428,Chr01_021172428,Chr01,21172428
Chr01_021314430,Chr01_021314430,Chr01,21314430
Chr01_021452767,Chr01_021452767,Chr01,21452767
Chr01_021749869,Chr01_021749869,Chr01,21749869
Chr01_021807524,Chr01_021807524,Chr01,21807524
Chr01_021946638,Chr01_021946638,Chr01,21946638
Chr01_022082579,Chr01_022082579,Chr01,22082579
Chr01_022212365,Chr01_022212365,Chr01,22212365
Chr01_022394884,Chr01_022394884,Chr01,22394884
Chr01_022583576,Chr01_022583576,Chr01,22583576
Chr01_022684033,Chr01_022684033,Chr01,22684033
Chr01_022843951,Chr01_022843951,Chr01,22843951
Chr01_022987446,Chr01_022987446,Chr01,22987446
Chr01_023135494,Chr01_023135494,Chr01,23135494
Chr01_023282482,Chr01_023282482,Chr01,23282482
Chr01_023441216,Chr01_023441216,Chr01,23441216
Chr01_023573888,Chr01_023573888,Chr01,23573888
Chr01_023660185,Chr01_023660185,Chr01,23660185
Chr01_023666313,Chr01_023666313,Chr01,23666313
Chr01_023788320,Chr01_023788320,Chr01,23788320
Chr01_023898335,Chr01_023898335,Chr01,23898335
Chr01_024045391,Chr01_024045391,Chr01,24045391
Chr01_024175582,Chr01_024175582,Chr01,24175582
Chr01_024329053,Chr01_024329053,Chr01,24329053
Chr01_024493301,Chr01_024493301,Chr01,24493301
Chr01_024638252,Chr01_024638252,Chr01,24638252
Chr01_024776011,Chr01_024776011,Chr01,24776011
Chr01_024908727,Chr01_024908727,Chr01,24908727
Chr01_025047270,Chr01_025047270,Chr01,25047270
Chr01_025237512,Chr01_025237512,Chr01,25237512
Chr01_025366173,Chr01_025366173,Chr01,25366173
Chr01_025547975,Chr01_025547975,Chr01,25547975
Chr01_025680292,Chr01_025680292,Chr01,25680292
Chr01_025820235,Chr01_025820235,Chr01,25820235
Chr01_025928798,Chr01_025928798,Chr01,25928798
Chr01_026128872,Chr01_026128872,Chr01,26128872
Chr01_026283397,Chr01_026283397,Chr01,26283397
Chr01_026441213,Chr01_026441213,Chr01,26441213
Chr01_026533929,Chr01_026533929,Chr01,26533929
Chr01_026727284,Chr01_026727284,Chr01,26727284
Chr01_026889575,Chr01_026889575,Chr01,26889575
Chr01_027028793,Chr01_027028793,Chr01,27028793
Chr01_027170555,Chr01_027170555,Chr01,27170555
Chr01_027319336,Chr01_027319336,Chr01,27319336
Chr01_027498400,Chr01_027498400,Chr01,27498400
Chr01_027638034,Chr01_027638034,Chr01,27638034
Chr01_027785083,Chr01_027785083,Chr01,27785083
Chr01_027935511,Chr01_027935511,Chr01,27935511
Chr01_028031740,Chr01_028031740,Chr01,28031740
Chr01_028222095,Chr01_028222095,Chr01,28222095
Chr01_028375629,Chr01_028375629,Chr01,28375629
Chr01_028513348,Chr01_028513348,Chr01,28513348
Chr01_028661110,Chr01_028661110,Chr01,28661110
Chr01_028836729,Chr01_028836729,Chr01,28836729
Chr01_028977258,Chr01_028977258,Chr01,28977258
Chr01_029147718,Chr01_029147718,Chr01,29147718
Chr01_029246939,Chr01_029246939,Chr01,29246939
Chr01_029306549,Chr01_029306549,Chr01,29306549
Chr01_029384865,Chr01_029384865,Chr01,29384865
Chr01_029463795,Chr01_029463795,Chr01,29463795
Chr01_029580016,Chr01_029580016,Chr01,29580016
Chr01_029719732,Chr01_029719732,Chr01,29719732
Chr01_029871606,Chr01_029871606,Chr01,29871606
Chr01_030029838,Chr01_030029838,Chr01,30029838
Chr01_030191482,Chr01_030191482,Chr01,30191482
Chr01_030316004,Chr01_030316004,Chr01,30316004
Chr01_030473455,Chr01_030473455,Chr01,30473455
Chr01_030648564,Chr01_030648564,Chr01,30648564
Chr01_030787387,Chr01_030787387,Chr01,30787387
Chr01_030918929,Chr01_030918929,Chr01,30918929
Chr01_031063049,Chr01_031063049,Chr01,31063049
Chr01_031230732,Chr01_031230732,Chr01,31230732
Chr01_031369321,Chr01_031369321,Chr01,31369321
Chr01_031520465,Chr01_031520465,Chr01,31520465
Chr01_031685378,Chr01_031685378,Chr01,31685378
Chr01_031826034,Chr01_031826034,Chr01,31826034
Chr01_031996604,Chr01_031996604,Chr01,31996604
Chr01_032103709,Chr01_032103709,Chr01,32103709
Chr02_000066231,Chr02_000066231,Chr02,66231
Chr02_000129377,Chr02_000129377,Chr02,129377
Chr02_000302813,Chr02_000302813,Chr02,302813
Chr02_000352853,Chr02_000352853,Chr02,352853
Chr02_000522464,Chr02_000522464,Chr02,522464
Chr02_000698593,Chr02_000698593,Chr02,698593
Chr02_000858083,Chr02_000858083,Chr02,858083
Chr02_001000356,Chr02_001000356,Chr02,1000356
Chr02_001199023,Chr02_001199023,Chr02,1199023
Chr02_001296744,Chr02_001296744,Chr02,1296744
Chr02_001299007,Chr02_001299007,Chr02,1299007
Chr02_001299370,Chr02_001299370,Chr02,1299370
Chr02_001519045,Chr02_001519045,Chr02,1519045
Chr02_001594573,Chr02_001594573,Chr02,1594573
Chr02_001755914,Chr02_001755914,Chr02,1755914
Chr02_001945448,Chr02_001945448,Chr02,1945448
Chr02_002012430,Chr02_002012430,Chr02,2012430
Chr02_002192427,Chr02_002192427,Chr02,2192427
Chr02_002405414,Chr02_002405414,Chr02,2405414
Chr02_002449959,Chr02_002449959,Chr02,2449959
Chr02_002630314,Chr02_002630314,Chr02,2630314
Chr02_002793010,Chr02_002793010,Chr02,2793010
Chr02_002831977,Chr02_002831977,Chr02,2831977
Chr02_002835899,Chr02_002835899,Chr02,2835899
Chr02_003018692,Chr02_003018692,Chr02,3018692
Chr02_003084480,Chr02_003084480,Chr02,3084480
Chr02_003203866,Chr02_003203866,Chr02,3203866
Chr02_003396081,Chr02_003396081,Chr02,3396081
Chr02_003466308,Chr02_003466308,Chr02,3466308
Chr02_003487519,Chr02_003487519,Chr02,3487519
Chr02_003607169,Chr02_003607169,Chr02,3607169
Chr02_003705671,Chr02_003705671,Chr02,3705671
Chr02_003830072,Chr02_003830072,Chr02,3830072
Chr02_003956539,Chr02_003956539,Chr02,3956539
Chr02_004144447,Chr02_004144447,Chr02,4144447
Chr02_004299179,Chr02_004299179,Chr02,4299179
Chr02_004449637,Chr02_004449637,Chr02,4449637
Chr02_004596696,Chr02_004596696,Chr02,4596696
Chr02_004681104,Chr02_004681104,Chr02,4681104
Chr02_004744739,Chr02_004744739,Chr02,4744739
Chr02_004813504,Chr02_004813504,Chr02,4813504
Chr02_004866923,Chr02_004866923,Chr02,4866923
Chr02_005065855,Chr02_005065855,Chr02,5065855
Chr02_005201091,Chr02_005201091,Chr02,5201091
Chr02_005350338,Chr02_005350338,Chr02,5350338
Chr02_005440912,Chr02_005440912,Chr02,5440912
Chr02_005501597,Chr02_005501597,Chr02,5501597
Chr02_005583102,Chr02_005583102,Chr02,5583102
Chr02_005659487,Chr02_005659487,Chr02,5659487
Chr02_005813013,Chr02_005813013,Chr02,5813013
Chr02_006010537,Chr02_006010537,Chr02,6010537
Chr02_006095321,Chr02_006095321,Chr02,6095321
Chr02_006250118,Chr02_006250118,Chr02,6250118
Chr02_006397296,Chr02_006397296,Chr02,6397296
Chr02_006545882,Chr02_006545882,Chr02,6545882
Chr02_006713987,Chr02_006713987,Chr02,6713987
Chr02_006862745,Chr02_006862745,Chr02,6862745
Chr02_006998209,Chr02_006998209,Chr02,6998209
Chr02_007156656,Chr02_007156656,Chr02,7156656
Chr02_007324834,Chr02_007324834,Chr02,7324834
Chr02_007459787,Chr02_007459787,Chr02,7459787
Chr02_007601228,Chr02_007601228,Chr02,7601228
Chr02_007755322,Chr02_007755322,Chr02,7755322
Chr02_007918864,Chr02_007918864,Chr02,7918864
Chr02_008065455,Chr02_008065455,Chr02,8065455
Chr02_008200322,Chr02_008200322,Chr02,8200322
Chr02_008334644,Chr02_008334644,Chr02,8334644
Chr02_008499236,Chr02_008499236,Chr02,8499236
Chr02_008635121,Chr02_008635121,Chr02,8635121
Chr02_008775707,Chr02_008775707,Chr02,8775707
Chr02_008941678,Chr02_008941678,Chr02,8941678
Chr02_009098947,Chr02_009098947,Chr02,9098947
Chr02_009242862,Chr02_009242862,Chr02,9242862
Chr02_009406851,Chr02_009406851,Chr02,9406851
Chr02_009580695,Chr02_009580695,Chr02,9580695
Chr02_009680473,Chr02_009680473,Chr02,9680473
Chr02_009858951,Chr02_009858951,Chr02,9858951
Chr02_010006802,Chr02_010006802,Chr02,10006802
Chr02_010179410,Chr02_010179410,Chr02,10179410
Chr02_010297166,Chr02_010297166,Chr02,10297166
Chr02_010398789,Chr02_010398789,Chr02,10398789
Chr02_010437608,Chr02_010437608,Chr02,10437608
Chr02_010540390,Chr02_010540390,Chr02,10540390
Chr02_010614875,Chr02_010614875,Chr02,10614875
Chr02_010735661,Chr02_010735661,Chr02,10735661
Chr02_010885114,Chr02_010885114,Chr02,10885114
Chr02_011034105,Chr02_011034105,Chr02,11034105
Chr02_011192156,Chr02_011192156,Chr02,11192156
Chr02_011331252,Chr02_011331252,Chr02,11331252
Chr02_011500477,Chr02_011500477,Chr02,11500477
Chr02_011621872,Chr02_011621872,Chr02,11621872
Chr02_011777435,Chr02_011777435,Chr02,11777435
Chr02_011932068,Chr02_011932068,Chr02,11932068
Chr02_012093039,Chr02_012093039,Chr02,12093039
Chr02_012247095,Chr02_012247095,Chr02,12247095
Chr02_012390281,Chr02_012390281,Chr02,12390281
Chr02_012546804,Chr02_012546804,Chr02,12546804
Chr02_012716811,Chr02_012716811,Chr02,12716811
Chr02_012846432,Chr02_012846432,Chr02,12846432
Chr02_013003911,Chr02_013003911,Chr02,13003911
Chr02_013122440,Chr02_013122440,Chr02,13122440
Chr02_013313615,Chr02_013313615,Chr02,13313615
Chr02_013450294,Chr02_013450294,Chr02,13450294
Chr02_013572863,Chr02_013572863,Chr02,13572863
Chr02_013724421,Chr02_013724421,Chr02,13724421
Chr02_013859290,Chr02_013859290,Chr02,13859290
Chr02_013937232,Chr02_013937232,Chr02,13937232
Chr02_013967421,Chr02_013967421,Chr02,13967421
Chr02_014105236,Chr02_014105236,Chr02,14105236
Chr02_014198917,Chr02_014198917,Chr02,14198917
Chr02_014303915,Chr02_014303915,Chr02,14303915
Chr02_014494946,Chr02_014494946,Chr02,14494946
Chr02_014649169,Chr02_014649169,Chr02,14649169
Chr02_014734169,Chr02_014734169,Chr02,14734169
Chr02_014811378,Chr02_014811378,Chr02,14811378
Chr02_014878276,Chr02_014878276,Chr02,14878276
Chr02_014954449,Chr02_014954449,Chr02,14954449
Chr02_015049608,Chr02_015049608,Chr02,15049608
Chr02_015229549,Chr02_015229549,Chr02,15229549
Chr02_015398805,Chr02_015398805,Chr02,15398805
Chr02_015486270,Chr02_015486270,Chr02,15486270
Chr02_015630842,Chr02_015630842,Chr02,15630842
Chr02_015662390,Chr02_015662390,Chr02,15662390
Chr02_015703148,Chr02_015703148,Chr02,15703148
Chr02_015876777,Chr02_015876777,Chr02,15876777
Chr02_016002919,Chr02_016002919,Chr02,16002919
Chr02_016128302,Chr02_016128302,Chr02,16128302
Chr02_016303278,Chr02_016303278,Chr02,16303278
Chr02_016449114,Chr02_016449114,Chr02,16449114
Chr02_016488045,Chr02_016488045,Chr02,16488045
Chr02_016508535,Chr02_016508535,Chr02,16508535
Chr02_016657771,Chr02_016657771,Chr02,16657771
Chr02_016695390,Chr02_016695390,Chr02,16695390
Chr02_016786235,Chr02_016786235,Chr02,16786235
Chr02_016972936,Chr02_016972936,Chr02,16972936
Chr02_016975444,Chr02_016975444,Chr02,16975444
Chr02_017023953,Chr02_017023953,Chr02,17023953
Chr02_017078658,Chr02_017078658,Chr02,17078658
Chr02_017078871,Chr02_017078871,Chr02,17078871
Chr02_017446939,Chr02_017446939,Chr02,17446939
Chr02_017447294,Chr02_017447294,Chr02,17447294
Chr02_017583787,Chr02_017583787,Chr02,17583787
Chr02_017584224,Chr02_017584224,Chr02,17584224
Chr02_017584942,Chr02_017584942,Chr02,17584942
Chr02_018001004,Chr02_018001004,Chr02,18001004
Chr02_018001323,Chr02_018001323,Chr02,18001323
Chr02_018013573,Chr02_018013573,Chr02,18013573
Chr02_018015853,Chr02_018015853,Chr02,18015853
Chr02_018173961,Chr02_018173961,Chr02,18173961
Chr02_018241763,Chr02_018241763,Chr02,18241763
Chr02_018417410,Chr02_018417410,Chr02,18417410
Chr02_018491081,Chr02_018491081,Chr02,18491081
Chr02_018504490,Chr02_018504490,Chr02,18504490
Chr02_019106253,Chr02_019106253,Chr02,19106253
Chr02_019120872,Chr02_019120872,Chr02,19120872
Chr02_019164310,Chr02_019164310,Chr02,19164310
Chr02_019306428,Chr02_019306428,Chr02,19306428
Chr02_019447402,Chr02_019447402,Chr02,19447402
Chr02_019482260,Chr02_019482260,Chr02,19482260
Chr02_019483202,Chr02_019483202,Chr02,19483202
Chr02_019666323,Chr02_019666323,Chr02,19666323
Chr02_019718202,Chr02_019718202,Chr02,19718202
Chr02_019842952,Chr02_019842952,Chr02,19842952
Chr02_019958150,Chr02_019958150,Chr02,19958150
Chr02_019959031,Chr02_019959031,Chr02,19959031
Chr02_020220544,Chr02_020220544,Chr02,20220544
Chr02_020221027,Chr02_020221027,Chr02,20221027
Chr02_020371096,Chr02_020371096,Chr02,20371096
Chr02_020498531,Chr02_020498531,Chr02,20498531
Chr02_020669088,Chr02_020669088,Chr02,20669088
Chr02_020790996,Chr02_020790996,Chr02,20790996
Chr02_020930430,Chr02_020930430,Chr02,20930430
Chr02_021106623,Chr02_021106623,Chr02,21106623
Chr02_021252878,Chr02_021252878,Chr02,21252878
Chr02_021402149,Chr02_021402149,Chr02,21402149
Chr02_021577065,Chr02_021577065,Chr02,21577065
Chr02_021673591,Chr02_021673591,Chr02,21673591
Chr02_021821736,Chr02_021821736,Chr02,21821736
Chr02_021822311,Chr02_021822311,Chr02,21822311
Chr02_022216338,Chr02_022216338,Chr02,22216338
Chr02_022309781,Chr02_022309781,Chr02,22309781
Chr02_022421932,Chr02_022421932,Chr02,22421932
Chr02_022623269,Chr02_022623269,Chr02,22623269
Chr02_022674198,Chr02_022674198,Chr02,22674198
Chr02_022757436,Chr02_022757436,Chr02,22757436
Chr02_022819028,Chr02_022819028,Chr02,22819028
Chr02_022892074,Chr02_022892074,Chr02,22892074
Chr02_023066145,Chr02_023066145,Chr02,23066145
Chr02_023142301,Chr02_023142301,Chr02,23142301
Chr02_023155204,Chr02_023155204,Chr02,23155204
Chr02_023245894,Chr02_023245894,Chr02,23245894
Chr02_023440237,Chr02_023440237,Chr02,23440237
Chr02_023526403,Chr02_023526403,Chr02,23526403
Chr02_023624855,Chr02_023624855,Chr02,23624855
Chr02_023721429,Chr02_023721429,Chr02,23721429
Chr02_023859147,Chr02_023859147,Chr02,23859147
Chr02_023939709,Chr02_023939709,Chr02,23939709
Chr02_024069904,Chr02_024069904,Chr02,24069904
Chr02_024241841,Chr02_024241841,Chr02,24241841
Chr02_024392044,Chr02_024392044,Chr02,24392044
Chr02_024532302,Chr02_024532302,Chr02,24532302
Chr02_024704376,Chr02_024704376,Chr02,24704376
Chr02_024853223,Chr02_024853223,Chr02,24853223
Chr02_025000092,Chr02_025000092,Chr02,25000092
Chr02_025083765,Chr02_025083765,Chr02,25083765
Chr02_025281430,Chr02_025281430,Chr02,25281430
Chr02_025439219,Chr02_025439219,Chr02,25439219
Chr02_025616808,Chr02_025616808,Chr02,25616808
Chr02_025729952,Chr02_025729952,Chr02,25729952
Chr02_025864058,Chr02_025864058,Chr02,25864058
Chr02_026003780,Chr02_026003780,Chr02,26003780
Chr02_026005149,Chr02_026005149,Chr02,26005149
Chr02_026185515,Chr02_026185515,Chr02,26185515
Chr02_026207759,Chr02_026207759,Chr02,26207759
Chr02_026275630,Chr02_026275630,Chr02,26275630
Chr02_026423679,Chr02_026423679,Chr02,26423679
Chr02_026424362,Chr02_026424362,Chr02,26424362
Chr02_026424566,Chr02_026424566,Chr02,26424566
Chr02_027054727,Chr02_027054727,Chr02,27054727
Chr02_027055471,Chr02_027055471,Chr02,27055471
Chr02_027055526,Chr02_027055526,Chr02,27055526
Chr02_027055943,Chr02_027055943,Chr02,27055943
Chr02_027072676,Chr02_027072676,Chr02,27072676
Chr02_027199980,Chr02_027199980,Chr02,27199980
Chr02_027277832,Chr02_027277832,Chr02,27277832
Chr02_027407691,Chr02_027407691,Chr02,27407691
Chr03_000073977,Chr03_000073977,Chr03,73977
Chr03_000268624,Chr03_000268624,Chr03,268624
Chr03_000429115,Chr03_000429115,Chr03,429115
Chr03_000552853,Chr03_000552853,Chr03,552853
Chr03_000725079,Chr03_000725079,Chr03,725079
Chr03_000858314,Chr03_000858314,Chr03,858314
Chr03_001002489,Chr03_001002489,Chr03,1002489
Chr03_001162229,Chr03_001162229,Chr03,1162229
Chr03_001316987,Chr03_001316987,Chr03,1316987
Chr03_001472236,Chr03_001472236,Chr03,1472236
Chr03_001616380,Chr03_001616380,Chr03,1616380
Chr03_001777615,Chr03_001777615,Chr03,1777615
Chr03_001936222,Chr03_001936222,Chr03,1936222
Chr03_002032104,Chr03_002032104,Chr03,2032104
Chr03_002201050,Chr03_002201050,Chr03,2201050
Chr03_002355938,Chr03_002355938,Chr03,2355938
Chr03_002510637,Chr03_002510637,Chr03,2510637
Chr03_002590526,Chr03_002590526,Chr03,2590526
Chr03_002658911,Chr03_002658911,Chr03,2658911
Chr03_002707275,Chr03_002707275,Chr03,2707275
Chr03_002726652,Chr03_002726652,Chr03,2726652
Chr03_002978081,Chr03_002978081,Chr03,2978081
Chr03_003119208,Chr03_003119208,Chr03,3119208
Chr03_003260945,Chr03_003260945,Chr03,3260945
Chr03_003448650,Chr03_003448650,Chr03,3448650
Chr03_003571644,Chr03_003571644,Chr03,3571644
Chr03_003695982,Chr03_003695982,Chr03,3695982
Chr03_003817548,Chr03_003817548,Chr03,3817548
Chr03_004019275,Chr03_004019275,Chr03,4019275
Chr03_004128671,Chr03_004128671,Chr03,4128671
Chr03_004303760,Chr03_004303760,Chr03,4303760
Chr03_004433905,Chr03_004433905,Chr03,4433905
Chr03_004586370,Chr03_004586370,Chr03,4586370
Chr03_004777800,Chr03_004777800,Chr03,4777800
Chr03_004914225,Chr03_004914225,Chr03,4914225
